Sample	R1	R2
93-03011	s3://fh-pi-meshinchi-s/SR/SWOG/1000_93-03011_M_R_N_F_S58_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_93-03011_M_R_N_F_S58_R2_001.fastq.gz
93-06091	s3://fh-pi-meshinchi-s/SR/SWOG/1000_93-06091_M_R_N_F_S26_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_93-06091_M_R_N_F_S26_R2_001.fastq.gz
95-00822	s3://fh-pi-meshinchi-s/SR/SWOG/1000_95-00822_M_R_N_F_S96_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_95-00822_M_R_N_F_S96_R2_001.fastq.gz
95-01932	s3://fh-pi-meshinchi-s/SR/SWOG/1000_95-01932_M_R_N_F_S8_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_95-01932_M_R_N_F_S8_R2_001.fastq.gz
95-02682	s3://fh-pi-meshinchi-s/SR/SWOG/1000_95-02682_M_R_N_F_S56_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_95-02682_M_R_N_F_S56_R2_001.fastq.gz
96-00492	s3://fh-pi-meshinchi-s/SR/SWOG/1000_96-00492_M_R_N_F_S43_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_96-00492_M_R_N_F_S43_R2_001.fastq.gz
96-06982	s3://fh-pi-meshinchi-s/SR/SWOG/1000_96-06982_M_R_N_F_S1_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_96-06982_M_R_N_F_S1_R2_001.fastq.gz
97-00262	s3://fh-pi-meshinchi-s/SR/SWOG/1000_97-00262_M_R_N_F_S6_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_97-00262_M_R_N_F_S6_R2_001.fastq.gz
97-01672	s3://fh-pi-meshinchi-s/SR/SWOG/1000_97-01672_M_R_N_F_S7_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_97-01672_M_R_N_F_S7_R2_001.fastq.gz
98-00091	s3://fh-pi-meshinchi-s/SR/SWOG/1000_98-00091_M_R_N_F_S29_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_98-00091_M_R_N_F_S29_R2_001.fastq.gz
98-00392	s3://fh-pi-meshinchi-s/SR/SWOG/1000_98-00392_M_R_N_F_S2_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1000_98-00392_M_R_N_F_S2_R2_001.fastq.gz
2006-02721	s3://fh-pi-meshinchi-s/SR/SWOG/1020_2006-02721_M_R_N_F_S24_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1020_2006-02721_M_R_N_F_S24_R2_001.fastq.gz
2006-02992	s3://fh-pi-meshinchi-s/SR/SWOG/1020_2006-02992_M_R_N_F_S5_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1020_2006-02992_M_R_N_F_S5_R2_001.fastq.gz
2009-01931	s3://fh-pi-meshinchi-s/SR/SWOG/1020_2009-01931_M_R_N_F_S50_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1020_2009-01931_M_R_N_F_S50_R2_001.fastq.gz
97-02942	s3://fh-pi-meshinchi-s/SR/SWOG/1020_97-02942_M_R_N_F_S9_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1020_97-02942_M_R_N_F_S9_R2_001.fastq.gz
2005-03632	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2005-03632_M_R_N_F_S64_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2005-03632_M_R_N_F_S64_R2_001.fastq.gz
2006-00862	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2006-00862_M_R_N_F_S23_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2006-00862_M_R_N_F_S23_R2_001.fastq.gz
2006-02092	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2006-02092_M_R_N_F_S14_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2006-02092_M_R_N_F_S14_R2_001.fastq.gz
2007-00561	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2007-00561_M_R_N_F_S47_R1_001.fastq.gz	s3://fh-pi-meshinchi-s/SR/SWOG/1030_2007-00561_M_R_N_F_S47_R2_001.fastq.gz
